name	acc	count
1.10.10.60/FF/124579	1.10.10.60/FF/124579	3
1.10.10.60/FF/124590	1.10.10.60/FF/124590	6
1.10.10.60/FF/124592	1.10.10.60/FF/124592	36
1.10.10.60/FF/124601	1.10.10.60/FF/124601	39
1.10.10.60/FF/124604	1.10.10.60/FF/124604	29
1.10.10.60/FF/124609	1.10.10.60/FF/124609	1
1.10.10.60/FF/124618	1.10.10.60/FF/124618	9
1.10.10.60/FF/124620	1.10.10.60/FF/124620	7
1.10.10.60/FF/124628	1.10.10.60/FF/124628	36
1.10.10.60/FF/124632	1.10.10.60/FF/124632	64
1.10.10.60/FF/124647	1.10.10.60/FF/124647	3
1.10.10.60/FF/124649	1.10.10.60/FF/124649	9
1.10.10.60/FF/124666	1.10.10.60/FF/124666	2
1.10.10.60/FF/124677	1.10.10.60/FF/124677	59
1.10.10.60/FF/124704	1.10.10.60/FF/124704	63
1.10.10.60/FF/124791	1.10.10.60/FF/124791	51
1.10.10.60/FF/124794	1.10.10.60/FF/124794	57
1.10.10.60/FF/124798	1.10.10.60/FF/124798	9
1.10.10.60/FF/124804	1.10.10.60/FF/124804	6
1.10.10.60/FF/124810	1.10.10.60/FF/124810	1
1.10.10.60/FF/124827	1.10.10.60/FF/124827	11
1.10.10.60/FF/124848	1.10.10.60/FF/124848	87
1.10.10.60/FF/124872	1.10.10.60/FF/124872	4
1.10.10.60/FF/124903	1.10.10.60/FF/124903	7
1.10.10.60/FF/124934	1.10.10.60/FF/124934	11
1.10.10.60/FF/124937	1.10.10.60/FF/124937	2
1.10.10.60/FF/124956	1.10.10.60/FF/124956	17
1.10.10.60/FF/124962	1.10.10.60/FF/124962	8
1.10.10.60/FF/125006	1.10.10.60/FF/125006	23
1.10.10.60/FF/125039	1.10.10.60/FF/125039	1
1.10.10.60/FF/125083	1.10.10.60/FF/125083	31
1.10.10.60/FF/125103	1.10.10.60/FF/125103	39
1.10.10.60/FF/125154	1.10.10.60/FF/125154	3
1.10.10.60/FF/125233	1.10.10.60/FF/125233	7
1.10.10.60/FF/12911	1.10.10.60/FF/12911	6
1.10.10.60/FF/1366	1.10.10.60/FF/1366	4
1.10.10.60/FF/14393	1.10.10.60/FF/14393	6
1.10.10.60/FF/14402	1.10.10.60/FF/14402	2
1.10.10.60/FF/15222	1.10.10.60/FF/15222	7
1.10.10.60/FF/159	1.10.10.60/FF/159	13
1.10.10.60/FF/16958	1.10.10.60/FF/16958	2
1.10.10.60/FF/17875	1.10.10.60/FF/17875	1
1.10.10.60/FF/18391	1.10.10.60/FF/18391	10
1.10.10.60/FF/18546	1.10.10.60/FF/18546	3
1.10.10.60/FF/18900	1.10.10.60/FF/18900	8
1.10.10.60/FF/18975	1.10.10.60/FF/18975	6
1.10.10.60/FF/19998	1.10.10.60/FF/19998	2
1.10.10.60/FF/21473	1.10.10.60/FF/21473	7
1.10.10.60/FF/21966	1.10.10.60/FF/21966	3
1.10.10.60/FF/22446	1.10.10.60/FF/22446	5
1.10.10.60/FF/23082	1.10.10.60/FF/23082	2
1.10.10.60/FF/23095	1.10.10.60/FF/23095	2
1.10.10.60/FF/23096	1.10.10.60/FF/23096	1
1.10.10.60/FF/23159	1.10.10.60/FF/23159	3
1.10.10.60/FF/24030	1.10.10.60/FF/24030	7
1.10.10.60/FF/28087	1.10.10.60/FF/28087	1
1.10.10.60/FF/28105	1.10.10.60/FF/28105	3
1.10.10.60/FF/28106	1.10.10.60/FF/28106	3
1.10.10.60/FF/28107	1.10.10.60/FF/28107	8
1.10.10.60/FF/2876	1.10.10.60/FF/2876	7
1.10.10.60/FF/2947	1.10.10.60/FF/2947	2
1.10.10.60/FF/31080	1.10.10.60/FF/31080	18
1.10.10.60/FF/3164	1.10.10.60/FF/3164	3
1.10.10.60/FF/32271	1.10.10.60/FF/32271	1
1.10.10.60/FF/3230	1.10.10.60/FF/3230	1
1.10.10.60/FF/34302	1.10.10.60/FF/34302	4
1.10.10.60/FF/35201	1.10.10.60/FF/35201	11
1.10.10.60/FF/35214	1.10.10.60/FF/35214	7
1.10.10.60/FF/39426	1.10.10.60/FF/39426	3
1.10.10.60/FF/4130	1.10.10.60/FF/4130	4
1.10.10.60/FF/4691	1.10.10.60/FF/4691	7
1.10.10.60/FF/5272	1.10.10.60/FF/5272	1
1.10.10.60/FF/53787	1.10.10.60/FF/53787	6
1.10.10.60/FF/5386	1.10.10.60/FF/5386	3
1.10.10.60/FF/53868	1.10.10.60/FF/53868	1
1.10.10.60/FF/55076	1.10.10.60/FF/55076	3
1.10.10.60/FF/60263	1.10.10.60/FF/60263	6
1.10.10.60/FF/67789	1.10.10.60/FF/67789	7
1.10.10.60/FF/67790	1.10.10.60/FF/67790	5
1.10.10.60/FF/68540	1.10.10.60/FF/68540	26
1.10.10.60/FF/71198	1.10.10.60/FF/71198	5
1.10.10.60/FF/71877	1.10.10.60/FF/71877	9
1.10.10.60/FF/72441	1.10.10.60/FF/72441	10
1.10.10.60/FF/7354	1.10.10.60/FF/7354	6
1.10.10.60/FF/75019	1.10.10.60/FF/75019	8
1.10.10.60/FF/7531	1.10.10.60/FF/7531	2
1.10.10.60/FF/75838	1.10.10.60/FF/75838	2
1.10.10.60/FF/75839	1.10.10.60/FF/75839	5
1.10.10.60/FF/75853	1.10.10.60/FF/75853	10
1.10.10.60/FF/76757	1.10.10.60/FF/76757	1
1.10.10.60/FF/77641	1.10.10.60/FF/77641	51
1.10.10.60/FF/79012	1.10.10.60/FF/79012	5
1.10.10.60/FF/85931	1.10.10.60/FF/85931	2
1.10.10.60/FF/85947	1.10.10.60/FF/85947	58
1.10.10.60/FF/89570	1.10.10.60/FF/89570	50
1.10.10.60/FF/9367	1.10.10.60/FF/9367	11
1.10.10.60/FF/94752	1.10.10.60/FF/94752	52
1.10.10.650/FF/1265	1.10.10.650/FF/1265	2
1.10.10.650/FF/1285	1.10.10.650/FF/1285	4
1.10.10.650/FF/1290	1.10.10.650/FF/1290	2
1.10.10.690/FF/499	1.10.10.690/FF/499	2
1.10.1000.11/FF/879	1.10.1000.11/FF/879	1
1.10.1040.10/FF/10079	1.10.1040.10/FF/10079	4
1.10.1040.10/FF/10131	1.10.1040.10/FF/10131	4
1.10.1040.10/FF/17245	1.10.1040.10/FF/17245	8
1.10.1040.10/FF/17553	1.10.1040.10/FF/17553	4
1.10.1040.10/FF/17564	1.10.1040.10/FF/17564	4
1.10.1040.10/FF/17579	1.10.1040.10/FF/17579	4
1.10.1040.10/FF/6062	1.10.1040.10/FF/6062	8
1.10.1040.10/FF/6571	1.10.1040.10/FF/6571	4
1.10.1040.10/FF/6649	1.10.1040.10/FF/6649	4
1.10.1040.10/FF/6802	1.10.1040.10/FF/6802	4
1.10.1040.10/FF/7819	1.10.1040.10/FF/7819	4
1.10.1040.10/FF/7847	1.10.1040.10/FF/7847	4
1.10.1040.10/FF/8709	1.10.1040.10/FF/8709	5
1.10.1040.10/FF/9830	1.10.1040.10/FF/9830	4
1.10.1060.10/FF/10341	1.10.1060.10/FF/10341	1
1.10.1070.11/FF/1671	1.10.1070.11/FF/1671	1
1.10.1100.10/FF/47	1.10.1100.10/FF/47	1
1.10.1100.10/FF/7	1.10.1100.10/FF/7	1
1.10.12.10/FF/5670	1.10.12.10/FF/5670	16
1.10.12.10/FF/5683	1.10.12.10/FF/5683	8
