name	frequency
PTHR13831.orig.30.pir:-	81.0
PTHR10971.orig.30.pir:-	81.0
PTHR19854.orig.30.pir:-	80.0
PTHR19849.orig.30.pir:-	79.0
PTHR15574.orig.30.pir:-	78.0
PTHR44163.orig.30.pir:-	77.0
PTHR25465.orig.30.pir:-	77.0
PTHR22848.orig.30.pir:-	77.0
PTHR22805.orig.30.pir:-	77.0
PTHR18763.orig.30.pir:-	77.0
PTHR14588.orig.30.pir:-	77.0
PTHR11024.orig.30.pir:-	77.0
PTHR19861.orig.30.pir:-	76.0
PTHR44791.orig.30.pir:-	75.0
PTHR44133.orig.30.pir:-	74.0
PTHR21020.orig.30.pir:-	74.0
PTHR15722.orig.30.pir:-	74.0
PTHR44321.orig.30.pir:-	73.0
PTHR32215.orig.30.pir:-	73.0
PTHR25462.orig.30.pir:-	73.0
PTHR24396.orig.30.pir:-	73.0
PTHR24171.orig.30.pir:-	73.0
PTHR23284.orig.30.pir:-	73.0
PTHR22842.orig.30.pir:-	73.0
PTHR19878.orig.30.pir:-	73.0
PTHR17583.orig.30.pir:-	73.0
PTHR14221.orig.30.pir:-	73.0
PTHR44436.orig.30.pir:-	72.0
PTHR15856.orig.30.pir:-	72.0
PTHR14107.orig.30.pir:-	72.0
PTHR14085.orig.30.pir:-	72.0
PTHR13211.orig.30.pir:-	72.0
PTHR12764.orig.30.pir:-	72.0
zf-HC5HC2H_2:PF13832.6	71.0
PTHR47094.orig.30.pir:-	71.0
PTHR19818.orig.30.pir:-	71.0
PTHR44411.orig.30.pir:-	70.0
PTHR20995.orig.30.pir:-	70.0
PTHR19863.orig.30.pir:-	70.0
PTHR17605.orig.30.pir:-	70.0
PTHR14205.orig.30.pir:-	70.0
PTHR46040.orig.30.pir:-	69.0
PTHR45389.orig.30.pir:-	69.0
PTHR45013.orig.30.pir:-	69.0
PTHR19871.orig.30.pir:-	69.0
PTHR15169.orig.30.pir:-	69.0
PTHR14344.orig.30.pir:-	69.0
PTHR14296.orig.30.pir:-	69.0
zf-C3HC4_3:PF13920.6	68.0
PTHR46866.orig.30.pir:-	68.0
PTHR23235.orig.30.pir:-	68.0
PTHR23163.orig.30.pir:-	68.0
PTHR14773.orig.30.pir:-	68.0
PTHR14196.orig.30.pir:-	68.0
PTHR46170.orig.30.pir:-	67.0
PTHR45925.orig.30.pir:-	67.0
PTHR12109.orig.30.pir:-	67.0
ANAPC4_WD40:PF12894.7	67.0
PTHR45993.orig.30.pir:-	66.0
PTHR43991.orig.30.pir:-	66.0
PTHR43670.orig.30.pir:-	66.0
PTHR23328.orig.30.pir:-	66.0
PTHR18359.orig.30.pir:-	66.0
PTHR13923.orig.30.pir:-	66.0
PTHR10241.orig.30.pir:-	66.0
Myb_DNA-binding:PF00249.31	66.0
Acetyltransf_7:PF13508.7	66.0
zf-H2C2_2:PF13465.6	65.0
PTHR47638.orig.30.pir:-	65.0
PTHR43270.orig.30.pir:-	65.0
PTHR47250.orig.30.pir:-	64.0
PTHR35116.orig.30.pir:-	64.0
PTHR22874.orig.30.pir:-	64.0
PTHR22806.orig.30.pir:-	64.0
PTHR16089.orig.30.pir:-	64.0
PTHR14003.orig.30.pir:-	64.0
PTHR46318.orig.30.pir:-	63.0
PTHR46042.orig.30.pir:-	63.0
PTHR45988.orig.30.pir:-	63.0
PTHR45532.orig.30.pir:-	63.0
PTHR14494.orig.30.pir:-	63.0
PTHR13743.orig.30.pir:-	63.0
MBD:PF01429.19	63.0
HMG_box_2:PF09011.10	62.0
PTHR48112.orig.30.pir:-	61.0
PTHR47277.orig.30.pir:-	61.0
PTHR46860.orig.30.pir:-	61.0
PTHR46450.orig.30.pir:-	61.0
PTHR45891.orig.30.pir:-	61.0
PTHR44472.orig.30.pir:-	61.0
PTHR12622.orig.30.pir:-	61.0
PTHR24391.orig.30.pir:-	60.0
PTHR12313.orig.30.pir:-	60.0
ARID:PF01388.21	60.0
PTHR47660.orig.30.pir:-	59.0
PTHR45282.orig.30.pir:-	59.0
PTHR25464.orig.30.pir:-	59.0
PTHR22894.orig.30.pir:-	59.0
PTHR11685.orig.30.pir:-	59.0
Prok-RING_4:PF14447.6	58.0
PTHR15898.orig.30.pir:-	58.0
PTHR22872.orig.30.pir:-	57.0
PTHR12321.orig.30.pir:-	57.0
PTHR10709.orig.30.pir:-	57.0
PTHR46655.orig.30.pir:-	56.0
PTHR46389.orig.30.pir:-	56.0
PTHR44218.orig.30.pir:-	56.0
PTHR40626.orig.30.pir:-	56.0
PTHR15507.orig.30.pir:-	56.0
PTHR14134.orig.30.pir:-	56.0
PTHR13950.orig.30.pir:-	56.0
PTHR13129.orig.30.pir:-	56.0
PTHR12656.orig.30.pir:-	56.0
MBT:PF02820.18	56.0
BRK:PF07533.16	56.0
Tudor-knot:PF11717.8	55.0
PTHR47240.orig.30.pir:-	55.0
PTHR47232.orig.30.pir:-	55.0
PTHR46232.orig.30.pir:-	55.0
PTHR46071.orig.30.pir:-	55.0
PTHR45893.orig.30.pir:-	55.0
PTHR23232.orig.30.pir:-	55.0
PTHR22765.orig.30.pir:-	55.0
PTHR13992.orig.30.pir:-	55.0
PTHR24383.orig.30.pir:-	54.0
PTHR23110.orig.30.pir:-	54.0
PTHR15315.orig.30.pir:-	54.0
PTHR12983.orig.30.pir:-	54.0
PTHR12616.orig.30.pir:-	54.0
PTHR12550.orig.30.pir:-	54.0
PTHR47446.orig.30.pir:-	53.0
PTHR46727.orig.30.pir:-	53.0
PTHR23225.orig.30.pir:-	53.0
PTHR22970.orig.30.pir:-	53.0
PTHR16112.orig.30.pir:-	53.0
PTHR15860.orig.30.pir:-	53.0
PTHR15598.orig.30.pir:-	53.0
PTHR48126.orig.30.pir:-	52.0
PTHR48125.orig.30.pir:-	52.0
PTHR47960.orig.30.pir:-	52.0
PTHR47361.orig.30.pir:-	52.0
PTHR46261.orig.30.pir:-	52.0
PTHR46108.orig.30.pir:-	52.0
PTHR24098.orig.30.pir:-	52.0
PTHR13083.orig.30.pir:-	52.0
PTHR12930.orig.30.pir:-	52.0
zf-C3HC4_4:PF15227.6	51.0
PTHR48147.orig.30.pir:-	51.0
PTHR45781.orig.30.pir:-	51.0
PTHR16079.orig.30.pir:-	51.0
PTHR14305.orig.30.pir:-	51.0
PTHR13964.orig.30.pir:-	51.0
PTHR12958.orig.30.pir:-	51.0
PTHR10270.orig.30.pir:-	51.0
PTHR45768.orig.30.pir:-	50.0
PTHR15067.orig.30.pir:-	50.0
PTHR47662.orig.30.pir:-	49.0
PTHR16047.orig.30.pir:-	49.0
PTHR15348.orig.30.pir:-	49.0
JmjN:PF02375.17	49.0
CHDCT2:PF08074.11	49.0
PTHR47958.orig.30.pir:-	48.0
PTHR47222.orig.30.pir:-	48.0
PTHR33426.orig.30.pir:-	48.0
PTHR46968.orig.30.pir:-	47.0
PTHR46231.orig.30.pir:-	47.0
PTHR46077.orig.30.pir:-	47.0
PTHR43617.orig.30.pir:-	47.0
PTHR24370.orig.30.pir:-	47.0
PTHR23082.orig.30.pir:-	47.0
PTHR16220.orig.30.pir:-	47.0
PTHR14155.orig.30.pir:-	47.0
PTHR13037.orig.30.pir:-	47.0
PTHR12848.orig.30.pir:-	47.0
PTHR12480.orig.30.pir:-	47.0
PTHR11932.orig.30.pir:-	47.0
PTHR11227.orig.30.pir:-	47.0
PTHR11006.orig.30.pir:-	47.0
PTHR10865.orig.30.pir:-	47.0
PTHR10131.orig.30.pir:-	47.0
HDA2-3:PF11496.8	47.0
zf-C2H2_6:PF13912.6	46.0
Tudor_2:PF18104.1	46.0
PTHR47959.orig.30.pir:-	46.0
PTHR46677.orig.30.pir:-	46.0
PTHR46668.orig.30.pir:-	46.0
PTHR46475.orig.30.pir:-	46.0
PTHR45096.orig.30.pir:-	46.0
PTHR33304.orig.30.pir:-	46.0
PTHR23139.orig.30.pir:-	46.0
PTHR14898.orig.30.pir:-	46.0
PTHR12461.orig.30.pir:-	46.0
MRG:PF05712.13	46.0
Cullin:PF00888.22	46.0
zf-C2H2_jaz:PF12171.8	45.0
PTHR47658.orig.30.pir:-	45.0
PTHR45977.orig.30.pir:-	45.0
PTHR45676.orig.30.pir:-	45.0
PTHR36754.orig.30.pir:-	45.0
PTHR22635.orig.30.pir:-	45.0
PTHR14885.orig.30.pir:-	45.0
Linker_histone:PF00538.19	45.0
zf-rbx1:PF12678.7	44.0
zf-RING_10:PF16685.5	44.0
zf-MYST:PF17772.1	44.0
zf-CXXC:PF02008.20	44.0
PTHR47436.orig.30.pir:-	44.0
PTHR47427.orig.30.pir:-	44.0
PTHR47201.orig.30.pir:-	44.0
PTHR47198.orig.30.pir:-	44.0
PTHR42851.orig.30.pir:-	44.0
PTHR23123.orig.30.pir:-	44.0
PTHR22791.orig.30.pir:-	44.0
PTHR21330.orig.30.pir:-	44.0
PTHR15999.orig.30.pir:-	44.0
PTHR15065.orig.30.pir:-	44.0
PTHR14068.orig.30.pir:-	44.0
PTHR10825.orig.30.pir:-	44.0
Mtf2_C:PF14061.6	44.0
EPL1:PF10513.9	44.0
SnAC:PF14619.6	43.0
PTHR48039.orig.30.pir:-	43.0
PTHR46326.orig.30.pir:-	43.0
PTHR45969.orig.30.pir:-	43.0
PTHR45944.orig.30.pir:-	43.0
PTHR45093.orig.30.pir:-	43.0
PTHR22763.orig.30.pir:-	43.0
PTHR15710.orig.30.pir:-	43.0
PTHR15464.orig.30.pir:-	43.0
PTHR14596.orig.30.pir:-	43.0
PTHR12396.orig.30.pir:-	43.0
PTHR10688.orig.30.pir:-	43.0
MOZ_SAS:PF01853.18	43.0
PTHR46201.orig.30.pir:-	42.0
PTHR43420.orig.30.pir:-	42.0
PTHR15897.orig.30.pir:-	42.0
PTHR13513.orig.30.pir:-	42.0
PTHR10738.orig.30.pir:-	42.0
DUF4537:PF15057.6	42.0
PTHR47340.orig.30.pir:-	41.0
PTHR46358.orig.30.pir:-	41.0
PTHR46357.orig.30.pir:-	41.0
PTHR46288.orig.30.pir:-	41.0
PTHR45904.orig.30.pir:-	41.0
PTHR43995.orig.30.pir:-	41.0
PTHR31333.orig.30.pir:-	41.0
PTHR23206.orig.30.pir:-	41.0
PTHR15052.orig.30.pir:-	41.0
PTHR12661.orig.30.pir:-	41.0
PTHR11274.orig.30.pir:-	41.0
zf-RING_6:PF14835.6	40.0
PTHR48036.orig.30.pir:-	40.0
PTHR23216.orig.30.pir:-	40.0
PTHR14593.orig.30.pir:-	40.0
PTHR11210.orig.30.pir:-	40.0
Cupin_8:PF13621.6	40.0
TPR_1:PF00515.28	39.0
zf-Nse:PF11789.8	38.0
TPR_12:PF13424.6	38.0
RRM_1:PF00076.22	38.0
PTHR47863.orig.30.pir:-	38.0
PTHR47643.orig.30.pir:-	38.0
PTHR46537.orig.30.pir:-	38.0
PTHR46224.orig.30.pir:-	38.0
PTHR45803.orig.30.pir:-	38.0
PTHR45086.orig.30.pir:-	38.0
PTHR44858.orig.30.pir:-	38.0
PTHR44083.orig.30.pir:-	38.0
PTHR34451.orig.30.pir:-	38.0
PTHR15565.orig.30.pir:-	38.0
PTHR15481.orig.30.pir:-	38.0
PTHR12197.orig.30.pir:-	38.0
Acetyltransf_1:PF00583.25	38.0
SAM_1:PF00536.30	37.0
PTHR47692.orig.30.pir:-	37.0
PTHR47428.orig.30.pir:-	37.0
PTHR47332.orig.30.pir:-	37.0
PTHR46960.orig.30.pir:-	37.0
PTHR42912.orig.30.pir:-	37.0
PTHR16450.orig.30.pir:-	37.0
PTHR15241.orig.30.pir:-	37.0
PTHR13459.orig.30.pir:-	37.0
PTHR12350.orig.30.pir:-	37.0
PTHR10352.orig.30.pir:-	36.0
PTHR48024.orig.30.pir:-	35.0
PrmA:PF06325.13	34.0
PTHR24180.orig.30.pir:-	33.0
PTHR24198.orig.30.pir:-	32.0
PTHR23060.orig.30.pir:-	31.0
PTHR46375.orig.30.pir:-	30.0
PTHR10693.orig.30.pir:-	29.0
zf-C5HC2:PF02928.16	28.0
WW:PF00397.26	28.0
TPR_7:PF13176.6	28.0
PTHR48037.orig.30.pir:-	28.0
PTHR47776.orig.30.pir:-	28.0
PTHR46626.orig.30.pir:-	28.0
PTHR46259.orig.30.pir:-	28.0
PTHR44835.orig.30.pir:-	28.0
PTHR43182.orig.30.pir:-	28.0
PTHR42919.orig.30.pir:-	28.0
PTHR24413.orig.30.pir:-	28.0
PTHR24412.orig.30.pir:-	28.0
PTHR24153.orig.30.pir:-	28.0
PTHR24104.orig.30.pir:-	28.0
PTHR22684.orig.30.pir:-	28.0
PTHR15608.orig.30.pir:-	28.0
PTHR14744.orig.30.pir:-	28.0
PTHR14017.orig.30.pir:-	28.0
PTHR13227.orig.30.pir:-	28.0
PTHR12896.orig.30.pir:-	28.0
PTHR11375.orig.30.pir:-	28.0
Methyltransf_23:PF13489.6	28.0
NAP:PF00956.18	27.0
PTHR48026.orig.30.pir:-	26.0
PTHR47093.orig.30.pir:-	26.0
PTHR46717.orig.30.pir:-	26.0
PTHR46695.orig.30.pir:-	26.0
PTHR46055.orig.30.pir:-	26.0
PTHR45878.orig.30.pir:-	26.0
PTHR45812.orig.30.pir:-	26.0
PTHR44998.orig.30.pir:-	26.0
PTHR42926.orig.30.pir:-	26.0
PTHR32343.orig.30.pir:-	26.0
PTHR31780.orig.30.pir:-	26.0
PTHR22663.orig.30.pir:-	26.0
PTHR18847.orig.30.pir:-	26.0
